appsname,review,rating
Samsung Health,"I did like this app 'cause it keeps my daily running record. But after it's update. It's totally rugged. It took me 30 minutes to complete 6000 steps and it takes me 50 minutes to complete same steps. Moreover, I can't track Weight Management. What have you done with it? It tells Good or Average. I ...",1
Samsung Health,"I love the app, but unfortunately it is draining my watch battery like no tomorrow. I read online that this is due to an update and is a very common issue. Kindly fix this issue. Thank you! I love this app! It literally has everything in one: Track my runs or bike rides outside, count my calories, give me workout routines and walk me through them. So excited about this app I bought Samsung Active watch to go along with it. Can't wait to use both of them for a long long time!",3
Samsung Health,"Overall, not super impressed. It doesn't sync with Google Fit or popular workout/training apps, which is the biggest disappointment I think. I don't think Google Fit is available to download to the watch either. I want to have all my fitness goals and progress in one place, and this doesn't do it. Also, I teach on the second floor of a school, and literally go up and down stairs several times per day, yet my floors count is only 1? What's up with that?",2
Samsung Health,"I used to love this app, but it has had so many issues recently where it just would not open, or wouldn't record anything. I tried every suggested solution, and was eventually told to try uninstalling the app and reinstalling it. This worked, however it also erased three years of health data I had diligently collected, so I am not very happy.",1
Samsung Health,"Everything was going great until the app was recently updated, whenever I opened up the app today to add in a few items that I have eaten I notice that the weight management that tracks if I'm above or below my calorie limit was gone I found it very frustrating, I reset my account and everything believing that it was a bug but it turned out that it was part of this recent update, I'm sort of disappointed that it took that away because I found it to be one of the most helpful things in the app.",1
Samsung Health,"For the most part I really like the app as it works with my samsung smart watch. However i really hope they make a few changes. 1) be able to search the Fav food items. I eat the same stuff and when i ad it to my favs i have to scroll up and down looking for it and its a pain. 2) be able to edit / delete the My Food entries. If you make a mistake you cant change it or delete it. or at least i can't figure out how. so i create the a new version with same name + 2 3) Bar Code Scanner for nutritional information like every other nutrition app already has. This would be awesome and it already exists in several other apps. 4) expand compatible devices to include scales, and BGM that are available today. I have tried to purchase devices that are compatible but the device list seems to be old. I can't seem to find those exact devices now. 5) better integration with MyFitnessPal. I get a discount on my health insurance if i submit my steps and achieve the goals. But the apps do not seem to be compatible with each other. 6) integrate a web app. would be great to be able to go to a web page and have some reporting, like daily calorie count, step counts, trend etc that i can print so i can take to my Dr. and discuss. On the samsung health website they indicate apps with samsung health and devices with samsung health but there is no links to see what those apps and devices are. I really like having all of the information in one place. there are probably a few more improvements I gave this a 3 star. This app has the potential to be the best app out there. There are other apps that have these features and i am considering going to an iphone and iwatch or fitbit watch to be able to use these features.",3
Samsung Health,"Features were removed during the last update. There is no ""weight management"" tab to keep track of my calories in and calories out. It still remembers my calorie goal under the ""food"" tab, but there is no option to change it based on weekly weight loss goal and exercise. Stupid update. No one cares about the appearance if youre removing features.",1
Samsung Health,"Features were removed during the last update. There is no ""weight management"" tab to keep track of my calories in and calories out. It still remembers my calorie goal under the ""food"" tab, but there is no option to change it based on weekly weight loss goal and exercise. Stupid update. No one cares about the appearance if youre removing features.",2
Samsung Health,"I had to reinstall and now lost my ECG measurement from available tabs. Also, unless I just don't see it, why can I not see my hourly HR measurements in addition to just daily averages, hi/low?? I'd also like to see my heart rate built in as a viewable option when looking at sleep pattern. Please update so we can expand these views/trends as well.",2
Samsung Health,"Very ordinary fitness tracker. Doesn't even give basics like annual totals for steps, floors etc. Only reason to use is that it's the only one that syncs with Samsung watch As suggested you can go to trends but the only options are days, weeks or months. No annual total or year by year option. Surely anual totals are very important You can go trends but the only option are days, weeks or months. No years.",2
Samsung Health,"I love Samsung and their phones, but I'm very disappointed that you cannot have a connected device (ie Garmin watch) sync data with Samsung Health outside of a Samsung device. They're treading into Apple territory with proprietary functionality. Don't regress Samsung! I've already made a personal ban of Apple products for this exact reason. You're better than this Samsung. Please open the ability to sync from any device, not just your own!",1
Samsung Health,"What happened?! Ever since the last update the app doesn't automatically detect how long I've been asleep! It used to remember when I put my phone down at night and when I picked it up in the morning, but ever since the last update I've had to enter it manually. Very frustrating when an update actually downgrades the features you've gotten used to.",3
Samsung Health,"I have not found an app to do what this one does. It has all the food I can think of from the stores I buy, even any homemade soups, etc. May not be 100% but much closer than any other app & free too. I wish it would link with my cheap tracker since I don't always have my phone on me, but I can live with that. It does help me stay in check at least. I will be sharing this app with siblings struggling with weight during these times...also, I am a senior as are they",5
Samsung Health,"It's the best health app I've found and believe me I've searched a lot. I just have a question. A year ago you had a ""programme"" let's say that measured my calories and my workouts together and told me how much I had to burn or to eat to reach my daily target so as to lose or gain weight in the long run. Did you delete this feature?",5
Samsung Health,"The pedometer is so inaccurate, it's scary. It doesn't always record steps and the discrepancy between and another pedometer app is sometimes more than 1000 steps. Very disappointing. Not worth it. After doing the recommendations of clearing the cache and a force stop, the problem is still not fixed. Disappointing app.",4
Samsung Health,"2 1/2 stars UI is difficult to navigate - I always end up rummaging around to find the setting I need. The step counter counts ~15-20% more steps than I make. There's no weight management. Food items are plentiful, and yet, when I 'm adding to my meals, it's difficult to find what I need. Related to that, there's no barcode scanner for food stuffs.",3
Samsung Health,"Bug Fixes? More bugs more like. Since the update is doesn't record the route taken on the map or only records 1 of say 3 stages... It is slower now too when changing watch faces. why is it when 'a new better version' of an app comes out there are ALWAYS people who say ""it doesn't work properly now"" ..",2
Samsung Health,"Not bad but hoping for more. I recently got the Galaxy watch active 2 and use this with my Samsung Note 10+. At first I was using a Fitbit along with this but wanting to consolidate to one app I chose to go with Samsung health. Overall, the features give me a good amount of information. However I wish it would interact more consistently with MyFitnessPal. Also think Fitbit sleep tracking is far more accurate. I wish I could merge features from both apps!",4
Samsung Health,"Some good features. But errors too. I used app for cycling. Each time I slow down in traffic, it stops tracking and says ""Workout paused"". It resumes tracking only after certain speed is reached again. City traffic wont allow steady speed. We have to factor in the time used in pauses, else average",3
Samsung Health,"I used this app on my old phone and even on there it didn't work every time. Now I switched to a new OS on my phone and it is literally impossible to use. The sign in process simply does not ever complete. It's just loading for ages. Edit: I already tried clearing cache, force stopping and reinstalling the app and restarting my phone even before the reply of the developer and it changed nothing.",2
Samsung Health,"This app is user friendly. You can customize it to your need. It helps you monitor, stress, sleep, heart rate and blood pressure. Follow the instructions and you will have somewhat an accurate result to how this app is designed for your use. I enjoy this app as much as an everyday user. It helps me monitor my calorie intake, (not that I am worried, it gives me an idea of what I am eating and how much I should be eating more of.)",5
Samsung Health,"Simply doesn't work anymore! I have a Huawei phone but a Samsung smartwatch. I rarely go into the app but wanted to check some stats from a few recent runs. The app won't even open, I've uninstalled but still no joy. I then found out if you press and hold the app icon and select the steps it can show you the steps screen, but the main dashboard in the app is totally broken for me. Renders the app useless!",2
Samsung Health,"That's a very great app for recording daily activities and basic gym exercises, but it'll be very great if it has the ability to record every sort of gym workout with my Galaxy Watch, if the watch doesn't support recording these advanced activities, make it just record the heart rate and we can enter the reps and weights manually. Thank You",3
Samsung Health,"Used to work well, but recent update seems to have screwed it so it now does not display any data. It keeps counting steps, but doesn't display them until I force-stop the app and restart it. I'm now having to do that virtually every day. Please fix this. Update following Samsung response: Please provide a UK number.",1
Samsung Health,"Ruined after update. I used this specifically for how much sleep I've had. This function/ display appears to have been removed for some bizarre reason! Absolutely of no use to me anymore as it no longer does what I was using it for every day. Common theme, everytime anyone updates an app they ruin it, will now be deleted as its of no use to me. Samsung please look at all the bad reviews since the update and use your brains...your customers really don't like it, wake up!",1
Samsung Health,"I'll go for a run, it will record it. But for some reason doesnt upload the run to the app. It will upload a different workout afterwards but just won't accept the run. Rebooting the galaxy fit erases the run and its gone. Makes trying to use the app to track certain things useless. Same issues with auto workouts as always. Going for a ride on my motorcycle triggers a bike ride. Using a Samsung galaxy fit with a Samsung s20 ultra phone. So I dont think its using a competing phone thats problem",1
Samsung Health,Horrible update. It is using too much phone battery now. My phone is now overheating due to this app. It is using 14% of my CPU and says it needs to be closed. I have had to uninstall it. It is no longer syncing to Myfitnesspal. People use this to accurately monitor calories in order to lose weight. Do not take that function away. This is a very large consumer dissatisfier. Please fix ASAP! There has been a large issue with every update which is unacceptable.,1
Samsung Health,"This used to work well. Now for the past month or so the app is no longer counting my steps accurately. I've been up and around since 7 am and my counter is stuck on 15 steps. I haven't met my daily step goal in over a month because something changed within the app. Yesterday I was stuck on 2583 steps for most of the day and didn't realize the app had stopped counting sometime in the early afternoon. What happened, Samsung??",3
Samsung Health,"Great app can be fantastic with: 1. Ability to adjust daily macronutrient percentages for fat, carbs and protein and weekly trend. 2. Ability to track net carbohydrates and overall weekly trend. 3. Ability to track net calories at end of each day and overall weekly trend. 4. Ability to input meal data for next day to plan ahead. 5. Ability to scan food barcode for meal inputs. 6. A better list of macro nutrient breakdown. 7. Track fasting periods and weekly trend",3
Samsung Health,"Great app can be fantastic with: 1. Ability to adjust daily macronutrient percentages for fat, carbs and protein and weekly trend. 2. Ability to track net carbohydrates and overall weekly trend. 3. Ability to track net calories at end of each day and overall weekly trend. 4. Ability to input meal data for next day to plan ahead. 5. Ability to scan food barcode for meal inputs. 6. A better list of macro nutrient breakdown. 7. Track fasting periods and weekly trend",2
Samsung Health,"I used to love the step-tracking widget, but they ruined it. The previous version had a big, beautiful step counter centered in the widget and the new one is left-justified and super tiny. All the info on the widget can fit in three squares (two w/o the heart monitor button), but the smallest you can make the widget is four squares. You're also forced to display the goal now too, which is especially discouraging during this pandemic. Bleh.",1
Samsung Health,"Functional Changes to Samsung Health makes this app less than desirable and not as useful. Yes. It is nice to use the Galaxy Watch, but it was a great advantage to have the ability to use both. My Galaxy Watch sensor is not working so I loved how my Galaxy Note would capture my pulse, measure stress, and Auto detect a workout [my favorite] are all gone from the Galaxy Note. This is why I don't like to get use to using Samsung related apps because I understand you move Development Teams off.",2
Samsung Health,"Not impressed. Does a poor job counting steps (and mileage UNLESS engaged in an activity which uses GPS). I turned off ""auto-detect"" workout since it was terrible - thought I was swimming when working out on treadmill and only detected 11 minutes of a one hour session. Seems to detect sleep reasonably well - except for deep sleep which it seems largely insensitive to. While I appreciate other functionality of the App (heart rate, stress, spaO2), it is difficult to know how accurate these are when I know the other functionality is not even close. (BTW: I tested the app against both my treadmill display and my Polar Vantage M and the later two were much more closely aligned in terms of steps and distance than either was to the Samsung Health output which was both many steps and miles behind)",2
Samsung Health,"Simply doesn't work anymore! I have a Huawei phone but a Samsung smartwatch. I rarely go into the app but wanted to check some stats from a few recent runs. The app won't even open, I've uninstalled but still no joy. I then found out if you press and hold the app icon and select the steps it can show you the steps screen, but the main dashboard in the app is totally broken for me. Renders the app useless!",3
Samsung Health,"**Update**I got a quick reply, cleared out the cache and now its working again!! Thank you!! Major Disappointment!! Lately my Samsung Health app has been terrible. When I open it up, it never gets past the screen where the three guys are walking. So many of my workouts haven't been recorded because of it. I'm so disappointed, I love Samsung Health! Lately though not so much!!",5
Samsung Health,"Since the update it has been using extreme battery life compared to prior to the update. In addition while out for a,walk and walking at a good pace it continuously goes into pause mode. Again this did not happen prior to this update. I am not happy with this app right now. Please so another update",1
Samsung Health,"I used it before on my phone during the beginning of the first UK lockdown to keep me fit, and it sure did! I was more aware of what I was eating because I would record it, I recorded all the exercises I did because I wanted to do well for burning calories every day. Only thing stopping from giving",5
Samsung Health,"I use to really like this app because of the ease of use and the immediate ability to measure heartrate, oxygen level stress among other things. Now this updated version has removed that option. I assume its because some people have smart watches and sync them with this app. What about those of us who have zero desire to get a smart watch or Fitbit? Now we dont have that immediate availability to measure important vital statistics related to our health. That's not fair!! Please return that optio",2
Samsung Health,"Good. It is getting better, but I but still no match for the information display Garmin gives in regard to runs. It's awesome for tracking calories. They need to add sex as a workout choice though, let's just be real, we all do it, and it counts towards fitness and overall wellness.",4
Samsung Health,"Says access denied when I try to open the app. I have tried everything with Samsung support team and it still doesn't work. I bought a Samsung phone (s9) and watch (galaxy watch 3) so I didn't have to worry about things like this it's pretty terrible that I can't even open Samsung health... In reply to below: yes I have tried clearing the cache, the cache partition, reinstalling and many other things. You leave a number to call but it is a US number so I can't call it! How to contact from UK?",1
